Code,Description
"4S (1)","Conner Air Lines "
"4T","Belair Airlines Ltd."
"4W","Warbelow"
"4Y","Yute Air Aka Flight Alaska"
"5B","Bellair "
"5C","C.A.L Cargo Airlines"
"5D","Aerolitoral"
"5F","Arctic Circle Air Service"
"5G","Skyservice Airlines, "
"5G (1)","Queen Air"
"5J","Cebu Air Inc d/b/a Cebu Pacific Air"
"5J (1)","Private Jet Expeditions"
"5L","Aerosur"
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo"
"5X","United Parcel Service"
"5Y","Atlas Air "
"6A","Aviacsa Airlines"
"6B","TUIfly Nordic A.B."
"6C","Cape Smythe Air Service"
"6F","Laker Airways "
"6H","Israir Airlines"
"6P","Pacific East Air "
"6R","Aerounion Aerotransporte de Carga Union SA de CV"
"6U","Air Ukraine"
"6Y","Nicaraguense De Aviacion Sa"
"7B","Krasair"
"7C","Jeju Air Co Ltd."
"7F","First Air"
"7G","MK Airlines Ltd."
"7G (1)","Bellair  (1)"
"7H","Era Aviation"
"7I","Insel Air International B V"
"7L","Silk Way West Airlines"
"7M","Aeromonterrey S.A."
"7N","Inland Aviation Services"
"7P","Apa International Air S.A."
"7Q","Pan American World Airways Dominicana"
"7S","Arctic Transportation"
"7S (1)","Skystar International "
"7Z","Lb Limited"
"8C","Air Transport International"
"8D","Dynamic Aviation,  d/b/a Beacon"
"8E","Bering Air "
"8F","Wilburs "
"8I","Inselair Aruba NV"
"8J","Jetall Airways"
"8L","Servicio Aereo Leo Lopez"
"8N","Flagship Airlines "
"8Q","Baker Aviation "
"8R","Edelweiss Air Ag"
"8V","Wright Air Service"
"9E","Endeavor Air "
"9J","Pacific Island Aviation"
"9K","Cape Air"
"9L","Colgan Air"
"9M","Central Mountain Air"
"9N","ANA & JP Express  Ltd."
"9R","Flagship Express Services"
"9S","Southern Air "
"9T","TravelspanGT,  S.A."
"9V","Avior Airlines, C.A."
"9W","Jet Airways (India) Limited"
"A0","Elysair d/b/a L'Avion"
"A2","Cielos De Peru"
"A4","Southern Wind Airlines"
"A7","Air Comet S.A."
"A7 (1)","Air 21"
"AA","American Airlines "
"AAA","Associated Aviation Act."
"AAB","Abelag Aviation AG"
"AAB (1)","Antilles Air Boats "
"AAE","AAA Airlines"
"AAI","Audi Air "
"AAL","Argosy Air Lines "
"AAP","Armstrong Air Service "
"AAQ","Advance Air Charters"
"AAR","Altair Airlines "
"AAT","Air Sunshine "
"AAV","Alpine Air"
"AAZ","Alaska Aeronautical Indust."
"AB","Air Berlin PLC and CO"
"ABH","Air Bahia"
"ABI","Airbama Incorporated"
"ABO","Aeronaves Boringuena "
"ABX","ABX Air Inc"
"AC","Air Canada"
"ACA","Alaska Central Airways "
"ACD","Academy Airlines"
"ACG","Air Cargo Express "
"ACH","Island Airlines Hawaii "
"ACI","AAA-Action Air Carrier "
"ACJ","Atlantic Coast Jet "
"ACK","Air Central "
"ACL","Check-Air "
"ACN","Alliance Airlines"
"ACO","Air Cargo Enterprises "
"ACP","Air Chaparral "
"ACQ","Aeronautica De Cancun"
"ACS","Alamo Commuter Airlines"
"ACT","Air Central  (1)"
"ACW","Transwest Air Express"
"AD","Azul Linhas Aereas Brazileiras S A"
"AD (1)","Avia Leasing Company"
"ADB","Antonov Company"
"ADQ","Aeronaves Del Peru"
"ADR","Adirondack Airlines"
"ADV","Advantage Airlines"
"AE","Air Europe Limited"
"AEC","Astec Air East "
"AED","Air East Of Delaware "
"AEF","Aero Freight"
"AEO","Aero Coach"
"AEQ","Air Caravane "
"AEX","Air Excursions LLC (1)"
"AF","Compagnie Natl Air France"
"AFA","American Flag Airlines "
"AFE","Air Florida Express"
"AFG","American Flight Group"
"AFQ","Aero B Venezuela C.A."
"AFS","Arcata Flying Service"
"AGA","Air Cargo America "
"AGQ","Argo S. A."
"AHA","Air Alpha"
"AHC","Air Hawaii"
"AHQ","Air National"
"AI","National Aviation Company of India Limited d/b/a Air India"
"AIA","All Island Air"
"AIC","Air Caribbean"
"AIE","Air Express "
"AIG","Airgo "
"AIK","Air Ketchum Idaho "
"AIM","Air Mont. "
"AIN","Air Indiana"
"AIQ","Norontair"
"AIT","Airways International"
"AIY","Alliance Air"
"AJ","Air Micronesia "
"AJQ","Aerodynamics "
"AKQ","Airmark Airlines "
"AL","Skyway Airlines"
"ALD","Allied Airlines"
"ALE","Air-Lift Associates "
"ALI","Brandt Air"
"ALK","Air Link Airways"
"ALL","All Seasons Air Pacific"
"ALQ","Alberta Northern Airlines"
"ALS","Air L.A."
"ALT","Altus Airlines"
"ALU","Aleutian Air"
"ALX","Atlanta Express"
"AM","Aeromexico"
"AMA","North American Airlines "
"AME","Americair "
"AMI","American Inter-Island "
"AMQ","Ameristar Air Cargo"
"AMR","AvAir"
"AMT","American Air Transport"
"ANB","Air Nebraska "
"ANC","Atlantic Air"
"AND","Southcentral Air "
"ANI","Dash Air Corporation"
"ANM","Airways Of New Mexico "
"ANO","Metro Air Northeast Vermont"
"ANT","Air North/Nenana"
"AO","Aviacion Y Comercio S.A."
"AOI","Trans New York"
"AON","Action Airlines"
"AOQ","Aerovias S.A."
"AOR","Air New Orleans"
"APE","Air Cape"
"APH","Alpha Air"
"API","Arizona Pacific "
"APL","Appalachian Flying Service"
"APN","Aspen Airways "
"APQ","Alas De Transporte International"
"APS","Air Spirit "
"APY","Air Polynesia "
"AQ","Aloha Airlines "
"AQQ","Air Charter (Safa)"
"AR","Aerolineas Argentinas"
"ARA","Air Resorts Airlines"
"ARB","Air Caribe International"
"ARD","Airlift International"
"ARI","Arizona Aero Corp."
"ARM","Airmarc Airlines "
"ARN","Arnold Aviation"
"ARO","Air Oregon"
"ARP","Airspur Helicopters "
"ARQ","Aerovias Colombianas Arca"
"ARR","Arrowhead Airways "
"ARS","Air Sedona"
"ARZ","Arizona Airways"
"AS","Alaska Airlines "
"ASC","Air South "
"ASD","Amistad Airlines"
"ASH","Air South"
"ASI","Alpine Air Services "
"ASN","Air Casino"
"ASP","Asap Air "
"ASQ","Aerosur (1)"
"ASR","Astor Air"
"AST","Astro Airways"
"ASU","Air South (1)"
"ASW","Sunrise Airlines "
"AT","Royal Air Maroc"
"ATH","Air Southeast"
"ATN","Air Atlantic Airlines "
"ATO","Pacific National Airways"
"ATQ","Aero Tranportes Panamenos"
"ATS","Atlantis Airlines "
"ATT","Aerotransit "
"ATX","Air Carolina"
"AUX","Austin Express "
"AV","Aerovias Nacl De Colombia"
"AVA","Air Vectors Airways"
"AVC","Av Center "
"AVG","Airvantage"
"AVI","Aero Virgin Islands Corp."
"AVL","Aviation Sales"
"AVQ","Aero Laguna S.A. De C.V."
"AVR","Air Vermont "
"AVS","Aviation Services"
"AVZ","Southern Jersey Airways"
"AWA","Air West Airlines"
"AWQ","Aermediterranea S.P.A."
"AX","Trans States Airlines"
"AXQ","Aeron International Airlines "
"AY","Finnair Oy"
"AYQ","Aerodan S.A. De C.V."
"AZ","Compagnia Aerea Italiana"
"AZP","Arizona Pacific Airways"
"AZQ","Anglo Airlines Ltd."
"B0","Dreamjet SAS Dba La Compagnie"
"B6","JetBlue Airways"
"BA","British Airways Plc"
"BAA","Aero International Airlines"
"BAC","Business Aircraft Corp."
"BAH","Brennan & Hargreaves "
"BAK","Bankair "
"BAN","Bangor International Air"
"BAQ","Aero Rentas De Coahuila S.A. De C.V."
"BAR","Bard-Air Corp."
"BAT","West Penn Commuter"
"BAY","Burlington Aeroplane "
"BBQ","Balair Ag"
"BC","Skymark Airlines "
"BCA","Baja Cortez Airlines"
"BCQ","Bradley Air Services Ltd."
"BD","British Midland Airways Ltd."
"BDE","Jet Express"
"BDQ","Aerotaxis De Aguascalientes S.A. De C.V."
"BE","Braniff International Airlines "
"BEA","Business Express Airlines"
"BEN","Bennington Aviation "
"BEQ","Air Belgium"
"BES","Aeroservices Executive"
"BEY","Beyer Aviation"
"BF","Markair "
"BFG","Million Air"
"BFQ","Buffalo Airways "
"BG","Biman Bangladesh Airlines"
"BGQ","Airbus Transport Internat'l"
"BHK","Blackhawk Airways "
"BHO","Bighorn Airways "
"BHQ","Turks Air Ltd. (1)"
"BIA","Big Island Air"
"BIQ","Servicios Aeronauticos Z S.A. De C.V."
"BIR","Birchwood Air Service"
"BJQ","Taxirey S.A. De C.V."
"BLQ","Air Bvi Limited"
"BM","Belize Air International Ltd."
"BMT","Bremerton Aviation "
"BN","Britannia Airways GmbH"
"BN (1)","Braniff "
"BNQ","NetJets Large Aircraft Company L.L.C."
"BOA","Boise Air Service"
"BOI","Bo-S-Aire Airlines "
"BOQ","Transp. Aereos Bolivianos"
"BQ","Aeromar C. Por A."
"BR","Eva Airways Corporation"
"BR (1)","Cal Air International Ltd."
"BRK","Barken International"
"BRO","Brower Airways "
"BRW","Barrow Air"
"BTQ","Brasair Transportes Aereos"
"BUH","Business Helicopters"
"BUQ","Wrangler Aviation "
"BUQ (1)","Blue Bell "
"BUR","Burlington Airways "
"BW","Caribbean Airlines Limited"
"BX","Air Busan"
"BXQ","Spantax S. A."
"BY","Britannia Airways Ltd."
"BYA","Bay Air"
"BZQ","Abaco Air, Ltd."
"C5","Commutair Aka Champlain Enterprises, "
"C6","Canjet Airlines"
"C8","Cargolux Italia SpA"
"C8 (1)","Chicago Express Airlines"
"CA","Air China"
"CAC","Coleman Air Transport"
"CAF","California Seaboard"
"CAI","Crawford Aviation "
"CAM","C & M Airlines"
"CAP","Metro Air Northeast N Y"
"CAQ","Challenge Air Luftverkehrs GmbH"
"CAT","Catalina Airlines "
"CAV","Air Virginia"
"CAZ","CAT Aviation"
"CB","Air One "
"CBA","Carriba Air "
"CC","Air Atlanta Icelandic"
"CC (1)","Air Atlanta "
"CCA","Cityhop"
"CCO","Chester County Aviation"
"CDQ","Kitty Hawk International"
"CEN","Cen-Tex Airlines "
"CEQ","All Canada Express"
"CET","Century Airlines (Cal)"
"CF","Compan. De Aviacion Faucett"
"CGA","Chicago Airlines"
"CGL","Viking International Airlines "
"CGO","Chicago Air Taxi"
"CH","Bemidji Airlines"
"CHD","Chandler Flyer"
"CHE","Charter Airlines"
"CHF","Hammonds Commuter Air Serv."
"CHI","Chitina Air Service"
"CHL","Channel Flying "
"CHO","Choi Aviation "
"CHS","Christman Air System"
"CHT","Charter One"
"CI","China Airlines Ltd."
"CIQ","A/S Conair"
"CIS","Cal Sierra Airlines"
"CJ","Colgan Airways "
"CK","China Cargo Airline"
"CKI","Inlet Airlines"
"CL","Capitol International "
"CLB","Columbia Pacific Airlines"
"CLD","Hawaii Pacific Helicopters"
"CLF","California Air Shuttle"
"CLQ","Aero Transcolombiana"
"CM","Compania Panamena (Copa)"
"CMB","Combs Airways "
"CMD","Command Airways "
"CMQ","Servicio De Carga Aerea Sa"
"CMR","Commuter Airlines (Ca)"
"CNN","Centennial Airlines"
"CO","Continental Air Lines "
"COB","Cotton Belt Aviation "
"COC","Cochise Airlines "
"COK","Coker Aviation "
"COL","Presidential Express"
"COM","Commutair"
"COR","Coral Air "
"COS","Cosmopolitan Comm. Airline"
"COT","Southeastern Commuter"
"COU","Courtesy Air Service "
"CP","Compass Airlines"
"CP (1)","Canadian Airlines International Ltd."
"CPA","Capitol Air Lines"
"CPC","Coastal Plains Commuter "
"CPQ","Capitol Air Express "
"CPT","Capitol Air"
"CQI","Conquest Airline Corp."
"CRA","Commuter Airlines"
"CRB","Caribair"
"CRE","Caribbean Express "
"CRH","Cresent Medivac"
"CRN","Crown Aviaiton "
"CRO","Crown Airways "
"CRP","Corporate Air"
"CRT","Crested Butte Air Service"
"CRV","Acropolis Aviation Ltd."
"CS","Continental Micronesia"
"CSA","Casino Airlines"
"CSK","Catskill Airways "
"CSL","Central States Air Lines"
"CSM","Chisum Flying Service"
"CSN","Casino Airlines (1)"
"CSQ","Celtic Tech Jet Ltd."
"CTA","Century Airlines"
"CTH","Cothron Aviation"
"CTL","Coastal Air Transport"
"CTQ","Custom Air Transport"
"CTR","Chartair"
"CUQ","Caicos Caribbean Airways"
"CUS","Custom Air Service"
"CV","Cargolux Airlines International S.A"
"CVA","Catalina-Vegas Airlines"
"CVQ","Caraven S.A."
"CW","Air Marshall Islands "
"CWQ","Canadian Aviation Express"
"CX","Cathay Pacific Airways Ltd."
"CYQ","Corse Air International"
"CZ","China Southern Airlines"
"CZ (1)","Cascade Airways "
"CZQ","Aviation Concepts"
"D7","Air Asia X Berhad dba Airasia X"
"DA","Dan Air Services"
"DAN","Danbury Airlines"
"DAU","Dauphin Island Airways"
"DC","Caribbean Air Cargo Co Ltd."
"DE","Condor Flugdienst"
"DEA","Downeast Airlines "
"DEC","Decatur Aviation"
"DFS","Downeast Flying Service"
"DH","Independence Air"
"DH (1)","Discovery Airways "
"DHL","DHL Airlines "
"DHQ","DHL Aero Expresso"
"DIA","Drummond Island Air"
"DIC","Dickman Aviation Services"
"DIR","Northern Star"
"DL","Delta Air Lines "
"DM","Maersk Air I/S"
"DO","Compania Dominicana De Avia"
"DOL","Dolphin Airways "
"DOQ","Aerolineas Dominicanas S A"
"DPA","Desert Pacific Airways"
"DPI","Desert Pacific Airlines "
"DQQ","Caribwest Airways Ltd."
"DSA","Desert Sun Airlines"
"DST","Desert Airlines"
"DUL","Dulles Express"
"DUZ","Summit Airlines "
"DVO","Devoe Airlines"
"DWN","Dawn Air"
"DXA","Dolphin Express"
"DY","Norwegian Air Shuttle ASA"
"E0","EOS Airlines, "
"E7","Estafeta Carga Aereas"
"E72","European Aviation Air Charter"
"E8","USAfrica Airways "
"E9","Boston-Maine Airways"
"EA","Eastern Air Lines "
"EAI","Executive Aviation "
"EAQ","Executive Airlines, SL"
"EAS","Eastern Caribbean Airways"
"EAT","Eastman Airways "
"EBQ","Execaire Aviation Ltd."
"ECA","Eagle Airlines (1)"
"ECI","Eastern Carolina Aviation"
"ECL","Eclipse Airlines"
"ECQ","Trans American Charter"
"ECR","East Coast Airways"
"ED","Andes"
"EDE","Ede Aire"
"EE","Eastern Airlines Group "
"EET","Exec Express II"
"EEX","Exec Express"
"EEZ","Eagle Aviation "
"EFA","Executive Four Winds"
"EFQ","Trans Europ. Airways France"
"EGA","Eagle Airline"
"EGJ","Eagle Jet Charter"
"EGL","Eagle Commuter Airlines "
"EH","Saeta Airlines"
"EHA","East Hampton Aire "
"EI","Aer Lingus Plc"
"EIA","East. Indiana Aviation Sale"
"EJQ","Aeroejecutivos C.A."
"EK","Emirates"
"EKA","Air Pacific "
"ELL","Ellis Air Taxi "
"EM","Empire Airlines "
"EMA","Emerald Airlines"
"EME","Metro Express"
"EMP","Empire Airlines  (2)"
"ENT","Enterprise Airlines "
"EOQ","Aeroservicios Ecuatorianos"
"EP","All Star Airlines "
"EQ","Tame Linea Aerea del Ecuador Tme EP"
"ER","Astar USA, LLC"
"ERI","Erie Airways "
"ERO","Empire Aero Service"
"ERQ","Aero Trades (Western) Ltd."
"ESQ","Seagreen Air Transport"
"ET","Ethiopian Airlines"
"EU","Ecuatoriana De Aviacion"
"EUQ","Air Atlanta Europe"
"EV","ExpressJet Airlines "
"EVA","Evanston Aviation"
"EW","Eurowings GmbH"
"EWA","Rio Grande Air"
"EXA","Columbia Pacific Airlines (1)"
"EXC","Hapag-Lloyd Executive GmbH"
"EXC (1)","Executive Charter"
"EXP","Express Airlines II"
"EXQ","Export Air Del Peru S.A."
"EXR","Executive Transport"
"EY","Etihad Airways"
"EZ","Evergreen International "
"F2","Omega Air Holdings d/b/a Focus Air"
"F8","Freedom Airlines d/b/a HP Expr"
"F9","Frontier Airlines "
"FAA","Falwell Aviation "
"FAC","Falcon Airways "
"FAQ","Fast Air Carrier Ltd. (1)"
"FAR","Federal Armored Service "
"FB","Translift Airways Limited"
"FBI","Young Flying Service"
"FC","Fast Colombia SAS d/b/a Viva Colombia"
"FCA","Southern Airlines "
"FCQ","Falcon Air Express"
"FD","Air Puerto Rico Airlines"
"FDA","Florida Airlines "
"FDM","Freedom Airlines "
"FDQ","Great American Airways"
"FE","Primaris Airlines "
"FF","Tower Air "
"FFQ","Five Star Airlines"
"FH","Frontier Horizon "
"FI","Icelandair"
"FJ","Air Pacific Ltd."
"FJ (1)","Air Pacific Ltd. (1)"
"FL","AirTran Airways Corporation"
"FL (1)","Frontier Airlines  (1)"
"FLA","Florida Air"
"FLM","Flamenco Airways "
"FLR","Flirite "
"FNQ","Fine Airlines "
"FOR","Ford-Aire "
"FOS","Foster Aviation"
"FP","TAG Aviation S.A."
"FQ","Air Aruba"
"FRA","Freedom Air"
"FRS","Four Star Aviation"
"FRT","Frontier Commuter"
"FRW","Farwest Airlines"
"FS","Serv De Trans Aereos Fuegui"
"FSA","F.S. Air Service"
"FT","Flying Tiger Line "
"FTI","Southern Airways"
"FVA","Skycraft "
"FW","Skybus "
"FWA","Far West Airlines"
"FX","Federal Express Corporation"
"FYB","Flying Boat"
"G3","VRG Linhas Aereas S A"
"G3 (1)","Aerochago S.A."
"G4","Allegiant Air"
"G7","GoJet Airlines LLC d/b/a United Express"
"GA","P.T. Garuda Indonesian Arwy"
"GAL","Galena Air Service"
"GAQ","Galaxy Airlines "
"GAS","General Aviation "
"GAT","Gulf Air Taxi"
"GAV","Gromer Aviation "
"GBA","Central States Airline"
"GBQ","G5 Executive Ag"
"GCA","Golden Carriage Aire"
"GCH","Grand Canyon Helicopters"
"GCQ","General Air Cargo"
"GCS","Midway Commuter"
"GD","Transp. Aereos Ejecutivos"
"GDW","Golden West Airlines "
"GE","Lufthansa Cargo Airlines"
"GF","Gulf Air Company"
"GF (1)","Gulf Air Transport "
"GFC","Gulf Flite Center"
"GFQ","Gulf And Caribbean Cargo"
"GG","Cargo 360, "
"GG (1)","Tropical Airways "
"GG (2)","Grenada Airways Ltd."
"GH","Ghana Airways Corporation"
"GHA","Green Hills Aviation Ltd."
"GIQ","Global International Airways Corp."
"GJ","Eurofly S.p.A"
"GJ (1)","Mexicargo"
"GKQ","Laker Airways"
"GL","Miami Air International"
"GLW","Golden West Airlines "
"GM","Air America"
"GMA","Green Mountain Airlines Ltd."
"GOF","Copper State Airlines"
"GPA","GP Express Airlines"
"GQ","Big Sky Airlines "
"GR","Gemini Air Cargo Airways"
"GRA","Gorda Aero Service"
"GRD","Grand Canyon Airlines"
"GRO","Isle Royale Seaplane Serv."
"GS","Air Foyle Limited"
"GSA","Golden Gate Airlines "
"GSC","GCS Air Service"
"GSL","Golden South Airlines "
"GSQ","Global Supply System"
"GST","Golden State Airlines"
"GU","Aviateca"
"GUL","Gull Air "
"GUN","Gunnel Aviation "
"GV","Grant Aviation"
"GW","SkyGreece Airlines S A"
"GW (1)","Central American Airlines"
"GWA","Great Western Aviation"
"GWE","Ross Aviation "
"GX","Air Ontario Limited"
"GY","Guyana Airways Corporation"
"H2","City Bird"
"H5","Magadan Airlines"
"H6","Hageland Aviation Service"
"HA","Hawaiian Airlines "
"HAQ","Hapag Lloyd Flug."
"HAR","Friendship Air Alaska"
"HB","Homer Air"
"HB (1)","Air Club International"
"HBQ","Harris Air Services"
"HCQ","Av Atlantic"
"HEL","Helitrans"
"HEP","Hub Express"
"HER","Markair Express"
"HET","Helitac Aviation"
"HEU","Heussler Air Service Corp"
"HFQ","Haiti Air Freight Intl"
"HFS","Hensley Flying Service "
"HIQ","Business Flights Ltd."
"HJ","Air Haiti S. A."
"HK","Time Air Sweden Ab"
"HLQ","Heavylift Cargo Airlines Lt"
"HMZ","Long Island Airlines"
"HNS","Haines Airways"
"HOL","Holiday Airlines "
"HOQ","Holidair Airways"
"HOR","Iowa Airlines"
"HP","America West Airlines  (Merged with US Airways 9/05. Stopped reporting 10/07.)"
"HPZ","Pacific Coast Airlines"
"HQ","Harmony Airways"
"HQ (1)","Business Express"
"HQQ","Harlequin Air Corporation"
"HRA","Trans-National Airlines Haw"
"HRG","Heritage Airlines"
"HRQ","Tar Airlines"
"HRZ","Allegheny Airlines"
"HSV","Harbor Air Service"
"HSZ","Scenic Airlines "
"HU","Hainan Airlines Company Limited"
"HUB","Skystream Airlines"
"HVQ","Transavia Holland B. V."
"HWK","Hawking Corporation"
"HX","Hong Kong Airlines Limited"
"HX (1)","Guy-America Airways "
"HY","Uzbekistan Airways"
"HYA","Hyannis Aviation"
"I4","Scott Air LLC dba Island Air Express"
"IA","Iraqi Airways"
"IB","Iberia Air Lines Of Spain"
"ICF","Iowa City Flying Service"
"ICH","Island Air Charters"
"ICQ","Iscargo Hf"
"IDQ","Intl Air Service  Ltd."
"IEX","Island Air Express"
"IG","Meridiana S.p.A"
"IGA","Global Jet Austria, GmbH"
"III","Idee Industries "
"IJ","Great Wall Airlines Company Limited"
"IKQ","Tradewinds Airways Ltd."
"IMP","Imperial Airlines "
"IN","Aerlinte Eireann Teoranta"
"INA","Inland Empire Airlines "
"IND","Indiana Airways  (Pa)"
"INQ","Independent Air "
"IOW","Iowa Airways"
"IPI","Indo-Pacific International"
"IPQ","Aruba Cargo"
"IPS","Island Express"
"IR","Iran National Airlines Corp"
"IRQ","Interstate Airlines "
"ISL","Island Airlines"
"ITQ","Interamericana De Aviacion"
"IW","Air Liberte Aka Aom Minerve"
"IW (1)","Best Airlines "
"IXQ","Inair"
"J2","Azerbaijan Airlines CJSC"
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes"
"J6","Larrys Flying Service"
"J7","Valujet Airlines "
"JAG","JetAlliance Flugbetriebs d/b/a JAF Airservice"
"JAM","Sunbelt Airlines "
"JAQ","Jamaica Air Freighters"
"JB","Helijet International "
"JCM","Air Chico"
"JCQ","Jet Connection Businessflight Ag"
"JCZ","Rocky Mountain Airways "
"JD","Japan Air System  Ltd."
"JER","Jer-Don Air"
"JF","L.A.B. Flying Service "
"JI","Jade Cargo International"
"JI (1)","Midway Airlines "
"JIQ","Jet Fleet Intl. Airlines"
"JJ","Transportes Aeros Meridiona"
"JK","Spanair S.A."
"JK (1)","Sunworld International Airways "
"JKQ","Express One International "
"JL","Japan Air Lines  Ltd."
"JM","Air Jamaica Limited"
"JMA","Jim Air "
"JN","Excel Airways"
"JO","Jalways  Ltd."
"JQ","Jetstar Airways Pty Limited"
"JR","Aero California"
"JTA","Jetaire Airlines "
"JU","Air Serbia"
"JU (1)","Yugoslav Airlines"
"JW","Arrow Air "
"JX","Southeast Airlines"
"JX (1)","Jes Air Ltd."
"JXQ","Allarco Developments Ltd."
"JZ","Japan Air Charter  Ltd."
"K3","Venture Travel LLC d/b/a Taquan Air Service"
"K5","Seaport Airlines, "
"K7","Arizona Express"
"K8","Caribbean Sun Airlines,  d/b/a World Atlantic Airlines"
"K8 (1)","Dutch Caribbean Airlines"
"KA","Hong Kong Dragonair"
"KAH","Kenmore Air Harbor"
"KAI","Knight Airlines "
"KAQ","Kalitta Air LLC"
"KAT","Katmai Air"
"KB","Haiti Air"
"KD","Western Global"
"KE","Korean Air Lines  Ltd."
"KEA","Keene Airways"
"KEE","Key Airlines"
"KET","Ketchikan Air Service"
"KFS","King Flying Service"
"KH","Aloha Air Cargo"
"KI","Time Air Ltd."
"KIN","Golden Pacific Airlines"
"KKQ","Transmeridian Air Cargo Ltd."
"KL","Klm Royal Dutch Airlines"
"KLQ","Kalitta Charters II"
"KM","Air Malta"
"KN","Morris Air Corporation"
"KO","Alaska Central Express"
"KOD","Kodiak Airways "
"KP","Kiwi International"
"KR","Kitty Hawk Aircargo"
"KR (1)","Kar-Air Oy"
"KS","Peninsula Airways "
"KTQ","Turks Air Ltd."
"KU","Kuwait Airways Corp."
"KW","Carnival Air Lines "
"KWQ","Kelowna Flightcraft Air Cha"
"KWZ","Crown Air"
"KX","Cayman Airways Limited"
"KXZ","Chaparral Airlines "
"KZ","Nippon Cargo Airlines"
"L2","Lynden Air Cargo Airlines"
"L3","Lynx Aviation d/b/a Frontier Airlines"
"L7","Lan Colombia"
"LA","Lan-Chile Airlines"
